TX,RX
02 31 00 00 00 00 00 31 03,06 31 E 19 53 F7 00 00 80 02 03
02 70 70 03,06 70 00 00 00 00 70 03
02 71 00 71 03,06 71 00 F6 54 D3 03
02 71 01 70 03,06 71 01 AAB D1 03
02 71 1B 82 73 03,06 71 02 28 23 78 03
02 71 1B 83 72 03,06 71 03 D8 DC 76 03
02 71 1B 02 73 03,06 71 02 28 23 78 03
02 40 00 40 03,06 40 00 28 23 58 1B 00 00 08 03
02 40 01 41 03,06 40 01 28 23 D0 07 00 00 9D 03
02 40 1B 02 42 03,06 40 02 50 46 D8 DC 00 00 50 03
02 40 1B 03 43 03,06 40 03 00 00 00 00 00 00 43 03
02 40 04 44 03,06 40 04 00 00 00 00 00 00 44 03
02 40 05 45 03,06 40 05 00 00 00 00 00 00 45 03
02 40 1B 06 46 03,06 40 06 00 00 00 00 00 00 46 03
02 40 07 47 03,06 40 47 00 00 00 00 00 00 47 03
02 40 08 48 03,06 40 08 00 00 00 00 00 00 48 03
02 40 09 49 03,06 40 09 00 00 00 00 00 00 49 03
02 40 A 00 03,06 40 A 00 00 00 00 00 00 00 03
02 40 B 4B 03,06 40 B 00 00 00 00 00 00 4B 03
02 40 C 4C 03,06 40 C 00 00 00 00 00 00 4C 03
02 40 D 4D 03,06 40 D 00 00 00 00 00 00 4D 03
02 40 E 4E 03,06 40 E 00 00 00 00 00 00 4E 03
02 40 F 4F 03,06 40 F 00 00 00 00 00 00 4F 03
02 40 10 50 03,06 40 10 00 00 00 00 00 00 50 03
02 40 11 51 03,06 40 11 00 00 00 00 00 00 51 03
02 40 12 52 03,06 40 12 00 00 00 00 00 00 52 03
02 40 13 53 03,06 40 13 00 00 00 00 00 00 53 03
02 40 14 54 03,06 40 14 00 00 00 00 00 00 54 03
02 40 1B 15 55 03,06 40 15 00 00 00 00 00 00 55 03
02 40 16 56 03,06 40 16 00 00 00 00 00 00 56 03
02 40 17 57 03,06 40 17 00 00 00 00 00 00 57 03
02 40 18 58 03,06 40 18 00 00 00 00 00 00 58 03
02 40 19 59 03,06 40 19 00 00 00 00 00 00 59 03
02 40 00 00 03,06 40 00 00 00 00 00 00 00 00 03
02 40 1B 1B 5B 03,06 40 1B 00 00 00 00 00 00 5B 03
02 40 1C 5C 03,06 40 1C 00 00 00 00 00 00 5C 03
02 40 1D 5D 03,06 40 1D 00 00 00 00 00 00 5D 03
02 40 1E 5E 03,06 40 1E 00 00 00 00 00 00 5E 03
02 40 1F 5F 03,06 40 1F 28 23 D0 07 00 00 83 03
02 51 00 00 51 03,06 51 00 FF FF FF AE 03
02 90 90 03,06 90 6F 00 67 9C 04 03
02 92 92 03,06 92 18 35 BF 03
02 98 98 03,06 98 FF FF 98 03
02 96 80 16 03,06 96 78 EE 03
02 97 00 97 03,06 97 02 95 03
02 97 1B 02 95 03,06 97 02 95 03
02 95 10 85 03,06 95 B 9E 03
02 31 00 00 00 00 00 31 03,06 31 E 19 53 F7 00 00 80 02 03
